form,filed,report_date,accession,items
8-K,2022-04-18,2022-04-18,0001375365-22-000046,"2.02,9.01"
8-K,2022-04-06,2022-04-01,0001375365-22-000037,"5.02,8.01,9.01"
8-K,2022-03-31,2022-03-26,0001375365-22-000027,"5.02,9.01"
8-K,2022-03-16,2022-03-11,0001375365-22-000024,8.01
8-K,2022-03-04,2022-03-03,0001375365-22-000021,"1.01,9.01"
10-Q,2022-02-04,2021-12-31,0001375365-22-000013,
8-K,2022-02-01,2022-02-01,0001375365-22-000008,"2.02,9.01"
8-K,2022-01-13,2022-01-07,0001375365-22-000003,"1.01,2.03,9.01"
8-K,2021-12-21,2021-12-21,0001375365-21-000093,8.01
8-K,2021-11-12,2021-11-08,0001375365-21-000087,"1.01,9.01"
10-Q,2021-11-05,2021-09-30,0001375365-21-000083,
8-K,2021-11-02,2021-11-02,0001375365-21-000078,"2.02,9.01"
8-K,2021-10-12,2021-10-05,0001375365-21-000075,"1.01,2.03,9.01"
8-K,2021-10-04,2021-09-30,0001375365-21-000067,"5.02,9.01"
8-K,2021-09-17,2021-09-13,0001375365-21-000064,"1.01,2.03,9.01"
10-K,2021-08-27,2021-06-30,0001375365-21-000060,
8-K,2021-08-10,2021-08-10,0001375365-21-000055,"2.02,9.01"
8-K,2021-07-26,2021-07-20,0001375365-21-000050,"1.01,2.03,9.01"
8-K,2021-06-29,2021-06-28,0001375365-21-000047,"1.01,9.01"
8-K,2021-06-03,2021-05-28,0001375365-21-000039,"5.07,9.01"
10-Q,2021-05-07,2021-03-31,0001375365-21-000034,
8-K,2021-05-04,2021-05-04,0001375365-21-000029,"2.02,9.01"
8-K,2021-03-04,2021-03-01,0001375365-21-000022,"5.02,7.01,9.01"
8-K,2021-02-12,2021-02-12,0001375365-21-000015,"7.01,8.01"
10-Q,2021-02-05,2020-12-31,0001375365-21-000011,
8-K,2021-02-02,2021-01-29,0001375365-21-000005,"2.02,5.02,8.01,9.01"
8-K,2020-12-04,2020-12-02,0001375365-20-000077,"1.01,2.03,9.01"
10-Q,2020-11-06,2020-09-30,0001375365-20-000074,
8-K,2020-11-03,2020-10-28,0001375365-20-000069,"2.02,5.02,8.01,9.01"
10-K,2020-08-31,2020-06-30,0001375365-20-000064,
8-K,2020-08-25,2020-08-25,0001375365-20-000059,"8.01,9.01"
8-K,2020-08-11,2020-08-11,0001375365-20-000057,"2.02,9.01"
8-K,2020-06-11,2020-06-05,0001375365-20-000052,"5.02,9.01"
8-K,2020-06-09,2020-06-05,0001375365-20-000050,"5.07,9.01"
8-K,2020-05-26,2020-05-21,0001375365-20-000044,"5.02,9.01"
8-K,2020-05-18,2020-05-18,0001375365-20-000042,"8.01,9.01"
8-K,2020-05-13,2020-05-12,0001375365-20-000035,"1.01,9.01"
10-Q,2020-05-11,2020-03-31,0001375365-20-000033,
8-K,2020-05-07,2020-05-07,0001375365-20-000030,"2.02,9.01"
8-K,2020-04-02,2020-04-02,0001375365-20-000021,"2.02,7.01,9.01"
8-K,2020-03-10,2020-03-04,0001375365-20-000019,"5.02,9.01"
8-K,2020-02-21,2020-02-21,0001375365-20-000015,8.01
10-Q,2020-02-07,2019-12-31,0001375365-20-000011,
8-K,2020-02-06,2020-02-06,0001375365-20-000008,"2.02,9.01"
8-K,2020-01-09,2020-01-08,0001375365-20-000004,"2.02,9.01"
10-Q,2019-12-20,2019-09-30,0001375365-19-000084,
8-K,2019-12-20,2019-12-19,0001375365-19-000080,"7.01,8.01,9.01"
10-K,2019-12-19,2019-06-30,0001375365-19-000079,
10-Q,2019-12-19,2019-03-31,0001375365-19-000078,
10-Q,2019-12-19,2018-12-31,0001375365-19-000077,
10-Q,2019-12-19,2018-09-30,0001375365-19-000076,
8-K,2019-11-14,2019-11-14,0001375365-19-000059,2.02
NT 10-Q,2019-11-12,2019-09-30,0001375365-19-000055,
8-K,2019-09-09,2019-09-06,0001375365-19-000052,5.02
NT 10-K,2019-08-30,2019-06-30,0001375365-19-000049,
8-K,2019-08-15,2019-08-15,0001375365-19-000047,"2.02,9.01"
8-K,2019-07-02,2019-06-26,0001375365-19-000045,"1.01,5.02,9.01"
8-K,2019-05-17,2019-05-15,0001375365-19-000041,"2.02,5.02,7.01,8.01,9.01"
10-K,2019-05-17,2017-06-30,0001375365-19-000039,
10-Q/A,2019-05-17,2017-03-31,0001375365-19-000037,
10-Q/A,2019-05-17,2016-12-31,0001375365-19-000035,
10-Q/A,2019-05-17,2016-09-30,0001375365-19-000033,
NT 10-Q,2019-05-10,2019-03-31,0001375365-19-000016,
8-K,2019-03-11,2019-03-11,0001375365-19-000010,3.01
8-K,2019-02-27,2019-01-30,0001375365-19-000008,5.02
8-K,2019-02-14,2019-02-14,0001375365-19-000006,"2.02,9.01"
NT 10-Q,2019-02-14,2018-12-31,0001375365-19-000004,
8-K,2019-02-05,2019-01-30,0001375365-19-000002,"1.01,2.03,5.02,5.05,9.01"
8-K,2018-12-11,2018-12-11,0001375365-18-000004,"7.01,9.01"
8-K,2018-11-15,2018-11-14,0001628280-18-014419,"2.02,4.02"
NT 10-Q,2018-11-13,2018-09-30,0001628280-18-014173,
8-K,2018-10-22,2018-10-18,0001628280-18-012712,"7.01,9.01"
8-K,2018-10-15,2018-10-04,0001628280-18-012549,"7.01,9.01"
8-K,2018-09-12,2018-09-07,0001628280-18-011798,"1.01,2.03,9.01"
NT 10-K,2018-08-29,2018-08-29,0001628280-18-011521,
8-K,2018-08-23,2018-08-22,0001628280-18-011320,"3.01,9.01"
8-K,2018-08-21,2018-08-21,0001628280-18-011282,"2.02,9.01"
8-K,2018-08-21,2018-08-21,0001628280-18-011280,"3.01,9.01"
8-K,2018-07-13,2018-07-09,0001628280-18-009214,3.01
8-K,2018-05-21,2018-05-15,0001628280-18-007027,"3.01,9.01"
NT 10-Q,2018-05-10,2018-05-10,0001628280-18-006545,
8-K,2018-05-03,2018-05-03,0001628280-18-005840,"2.02,9.01"
8-K,2018-04-24,2018-04-19,0001628280-18-004949,"1.01,2.03,9.01"
8-K,2018-03-16,2018-03-14,0001628280-18-003318,"3.01,9.01"
8-K,2018-03-13,2018-03-12,0001628280-18-003140,"1.01,2.03,9.01"
8-K,2018-02-21,2018-02-13,0001628280-18-001928,"3.01,9.01"
NT 10-Q,2018-02-09,2018-02-09,0001628280-18-001354,
