concept,period,cik,val,end
Revenues,CY2023,903651,86775000.0,2023-12-31
Revenues,CY2023,911971,1464975000.0,2023-12-31
Revenues,CY2023,913241,1981582000.0,2023-12-31
Revenues,CY2023,915389,9210000000.0,2023-12-31
Revenues,CY2023,916793,124131000.0,2023-12-31
Revenues,CY2023,920148,12161600000.0,2023-12-31
Revenues,CY2023,921738,6362900000.0,2023-12-31
Revenues,CY2023,925528,289025000.0,2023-12-31
Revenues,CY2023,927066,12140147000.0,2023-12-31
Revenues,CY2023,928340,180211233.0,2023-12-31
Revenues,CY2023,928876,1422680000.0,2023-12-31
Revenues,CY2023,934612,107000000.0,2023-12-31
Revenues,CY2023,937098,4994000000.0,2023-12-31
Revenues,CY2023,945983,352013000.0,2023-12-31
Revenues,CY2023,949870,2008625000.0,2023-12-30
Revenues,CY2023,1001115,124509000.0,2023-09-30
Revenues,CY2023,1002047,5657000000.0,2024-04-26
Revenues,CY2023,1005284,576429000.0,2023-12-31
Revenues,CY2023,1006281,65494000.0,2023-12-31
Revenues,CY2023,1009891,51516000.0,2023-12-31
Revenues,CY2023,1010134,431542000.0,2023-12-31
Revenues,CY2023,1012100,5488900000.0,2023-12-31
Revenues,CY2023,1014473,1493100000.0,2023-12-31
Revenues,CY2023,1014739,4302324000.0,2023-12-31
Revenues,CY2023,1015922,2414700000.0,2023-12-31
Revenues,CY2023,1016838,51600000.0,2023-12-31
Revenues,CY2023,1021635,2674300000.0,2023-12-31
Revenues,CY2023,1023459,59577000.0,2023-08-31
Revenues,CY2023,1029199,3688000000.0,2023-12-31
Revenues,CY2023,1031296,12870000000.0,2023-12-31
Revenues,CY2023,1034760,106026360.0,2023-12-31
Revenues,CY2023,1037038,6631400000.0,2024-03-30
Revenues,CY2023,1037646,3788309000.0,2023-12-31
Revenues,CY2023,1037976,20760800000.0,2023-12-31
Revenues,CY2023,1040161,59677000.0,2023-12-31
Revenues,CY2023,1041514,527971000.0,2023-06-30
Revenues,CY2023,1042893,424060000.0,2023-12-31
Revenues,CY2023,1043000,255322000.0,2023-12-31
Revenues,CY2023,1045810,60922000000.0,2024-01-28
Revenues,CY2023,1046102,3679600000.0,2023-12-31
Revenues,CY2023,1046311,1544165000.0,2023-12-31
Revenues,CY2023,1047335,1141544000.0,2023-12-31
Revenues,CY2023,1047340,4320700000.0,2023-12-29
Revenues,CY2023,1048268,2377227000.0,2023-09-30
Revenues,CY2023,1049521,835275000.0,2024-06-28
Revenues,CY2023,1050446,496261000.0,2023-12-31
Revenues,CY2023,1050825,3159600000.0,2024-02-23
Revenues,CY2023,1051470,4734000000.0,2023-12-31
Revenues,CY2023,1051627,75795000.0,2023-12-31
Revenues,CY2023,1058090,9871649000.0,2023-12-31
Revenues,CY2023,1058290,19353000000.0,2023-12-31
Revenues,CY2023,1066605,1041182000.0,2023-12-31
Revenues,CY2023,1070235,759100000.0,2024-02-29
Revenues,CY2023,1070412,3434948000.0,2023-12-31
Revenues,CY2023,1070494,726437000.0,2023-12-31
Revenues,CY2023,1081316,25602000000.0,2023-12-31
Revenues,CY2023,1084048,1364028000.0,2023-12-31
Revenues,CY2023,1084765,632801000.0,2024-05-25
Revenues,CY2023,1084991,121167000.0,2023-12-31
Revenues,CY2023,1086434,244383000.0,2023-12-31
Revenues,CY2023,1093691,891340000.0,2023-12-31
Revenues,CY2023,1099590,15107000000.0,2023-12-31
Revenues,CY2023,1104485,2166259000.0,2023-12-31
Revenues,CY2023,1108109,12490000000.0,2023-12-31
Revenues,CY2023,1109345,517922000.0,2023-12-31
Revenues,CY2023,1117171,204438365.0,2023-12-31
